,id_person_blue,id_person_white,id_winner,competition_date
1047,3623,38194,38194,2022-07-15
1049,18716,38158,38158,2022-07-15
1051,9728,11829,11829,2022-07-15
1052,30734,9212,30734,2022-07-15
1048,3780,10231,3780,2022-07-15
1054,65194,29719,29719,2022-07-15
1064,30734,11829,30734,2022-07-15
1053,14320,36058,36058,2022-07-15
1062,3780,38194,38194,2022-07-15
1061,45440,14431,14431,2022-07-15
1060,22132,29952,22132,2022-07-15
1059,22972,19292,19292,2022-07-15
1063,1094,38158,38158,2022-07-15
1057,50071,9286,9286,2022-07-15
1056,41398,22867,22867,2022-07-15
1055,20,16577,16577,2022-07-15
1058,14395,14950,14395,2022-07-15
1027,68398,31629,31629,2022-07-16
1018,19799,13369,19799,2022-07-16
1019,49222,59879,49222,2022-07-16
1020,32588,24669,24669,2022-07-16
1021,30062,31629,31629,2022-07-16
1022,61167,68398,68398,2022-07-16
1023,36818,44010,36818,2022-07-16
1024,2994,69794,2994,2022-07-16
1025,19799,37917,19799,2022-07-16
1026,24669,49222,49222,2022-07-16
1028,2994,36818,36818,2022-07-16
1035,24669,13369,13369,2022-07-16
1030,24669,59879,24669,2022-07-16
1031,68398,30062,30062,2022-07-16
1032,2994,44010,44010,2022-07-16
1033,49222,19799,19799,2022-07-16
1034,36818,31629,31629,2022-07-16
1036,44010,30062,44010,2022-07-16
1037,36818,13369,36818,2022-07-16
1038,49222,44010,49222,2022-07-16
1039,31629,19799,19799,2022-07-16
1029,37917,13369,13369,2022-07-16
1007,70512,45440,70512,2022-08-04
1008,30734,9728,30734,2022-08-04
1009,25917,25359,25359,2022-08-04
1010,47183,2539,2539,2022-08-04
1011,9728,45440,45440,2022-08-04
1012,47183,25917,25917,2022-08-04
1017,2539,70512,70512,2022-08-04
1014,2539,25359,2539,2022-08-04
1015,25359,45440,45440,2022-08-04
1016,30734,25917,30734,2022-08-04
1004,70512,42006,70512,2022-08-04
1005,70287,25917,25917,2022-08-04
1013,30734,70512,70512,2022-08-04
1006,47183,8973,47183,2022-08-04
1000,37993,25829,25829,2022-08-06
1002,45243,52172,45243,2022-08-06
1001,37993,70168,37993,2022-08-06
1003,25829,61033,25829,2022-08-06
999,61033,45243,61033,2022-08-06
998,25829,52172,25829,2022-08-06
997,70168,61033,61033,2022-08-06
984,30277,44009,44009,2022-08-13
985,45536,51005,51005,2022-08-13
986,44010,14830,44010,2022-08-13
987,44009,42006,42006,2022-08-13
988,51005,63310,63310,2022-08-13
989,51003,24215,24215,2022-08-13
990,44009,14830,14830,2022-08-13
991,51003,51005,51005,2022-08-13
992,42006,44010,44010,2022-08-13
993,24215,63310,63310,2022-08-13
994,24215,14830,14830,2022-08-13
995,42006,51005,51005,2022-08-13
996,63310,44010,63310,2022-08-13
971,70707,30499,30499,2022-08-15
972,31459,47183,47183,2022-08-15
973,30499,20,20,2022-08-15
